ROOMS,YR_RMDL,CENSUS_TRACT,SQUARE,ZIPCODE,BEDRM,BATHRM,KITCHENS,PRICE
12,2011.0,8402.0,960,20002.0,4,4,4.0,622487.0
5,2013.0,8410.0,910,20002.0,2,2,1.0,732500.0
6,1978.0,8410.0,910,20002.0,3,1,1.0,675000.0
8,2013.0,8410.0,910,20002.0,4,1,2.0,990000.0
6,2007.0,8410.0,910,20002.0,4,4,1.0,985000.0
6,2004.0,8301.0,835,20002.0,3,1,1.0,845000.0
6,2011.0,8302.0,862,20002.0,5,2,1.0,1060000.0
11,2013.0,8302.0,864,20002.0,5,2,2.0,1375000.0
8,2002.0,8302.0,864,20002.0,3,2,1.0,1136000.0
8,2002.0,8302.0,864,20002.0,3,2,1.0,1150000.0
6,2008.0,8302.0,864,20002.0,3,3,1.0,1170000.0
4,2002.0,7000.0,925,20003.0,2,1,1.0,813500.0
5,2017.0,7000.0,925,20003.0,2,1,1.0,747500.0
8,2017.0,8302.0,862,20002.0,4,2,1.0,1200000.0
7,2015.0,6500.0,875,20003.0,3,2,1.0,1350000.0
6,1989.0,8402.0,913,20002.0,3,1,1.0,705385.0
7,2006.0,8402.0,914,20002.0,4,2,1.0,875000.0
6,2001.0,10600.0,888,20002.0,3,2,1.0,770000.0
7,2012.0,10600.0,856,20002.0,4,2,1.0,715000.0
4,1961.0,7000.0,876,20003.0,2,1,1.0,600000.0
8,2017.0,8302.0,859,20002.0,4,3,2.0,1295000.0
6,2017.0,8410.0,933,20002.0,2,2,1.0,732500.0
8,2003.0,10600.0,889,20002.0,4,1,1.0,767900.0
10,1999.0,10600.0,856,20002.0,4,2,1.0,915000.0
8,2011.0,10600.0,856,20002.0,4,3,2.0,975000.0
6,2005.0,8301.0,836,20002.0,2,1,1.0,817777.0
6,2004.0,8301.0,836,20002.0,2,1,1.0,775000.0
6,2004.0,8301.0,836,20002.0,3,2,1.0,836500.0
6,2001.0,8302.0,859,20002.0,3,1,1.0,738730.0
8,1998.0,6600.0,841,20003.0,3,3,1.0,1335000.0
8,2010.0,6600.0,841,20003.0,4,3,2.0,1350000.0
7,1973.0,7000.0,949,20003.0,3,2,2.0,815000.0
6,2016.0,8410.0,911,20002.0,5,2,1.0,1150000.0
8,2000.0,8410.0,911,20002.0,3,2,1.0,856000.0
6,2011.0,8301.0,836,20002.0,3,1,1.0,831518.0
10,2016.0,8302.0,862,20002.0,4,3,1.0,1400000.0
11,2014.0,8302.0,865,20002.0,5,4,2.0,1775000.0
7,2000.0,8302.0,893,20002.0,3,2,1.0,805000.0
7,2007.0,8302.0,893,20002.0,4,3,1.0,1800000.0
