"Unemployment, total (% of labour force)"
"74"," Mexico","3.1","","6.9","","2.6","","3.6","","5.3","","5.2","","4.9","","4.9","","4.8","","4.3","","3.9","","3.5","a"
"112"," Moldova (Republic of)","8.5","","8.5","","8.5","","7.3","","7.5","","6.7","","5.6","","5.1","","3.9","","3.7","","4.2","","4.5","a"
"92"," Mongolia","9.6","","5.5","","4.6","","3.3","","6.6","","4.8","","3.9","","4.2","","4.8","","4.9","","7.2","","7.0","a"
"50"," Montenegro","29.5","","30.3","","29.8","","30.3","","19.7","","19.7","","19.7","","19.5","","18.0","","17.5","","17.7","","16.0","a"
"123"," Morocco","17.3","","22.9","","13.6","","11.0","","9.1","","8.9","","9.0","","9.2","","9.7","","9.7","","9.4","","9.3","a"
"180"," Mozambique","25.1","","22.2","","21.9","","21.7","","22.2","","22.3","","22.6","","23.3","","25.3","","25.3","","25.2","","25.0","a"
"148"," Myanmar","0.9","","0.9","","0.9","","0.9","","0.8","","0.8","","0.8","","0.8","","0.8","","0.8","","0.8","","0.8","a"
"129"," Namibia","19.1","","19.1","","20.3","","22.2","","22.1","","20.8","","16.8","","19.0","","18.5","","19.6","","23.4","","23.3","a"
"149"," Nepal","4.4","","4.6","","1.8","","1.5","","2.1","","2.5","","2.9","","3.3","","3.0","","3.1","","3.1","","2.7","a"
"10"," Netherlands","7.3","","7.2","","2.7","","4.7","","4.5","","5.0","","5.8","","7.2","","7.4","","6.9","","6.0","","4.9","a"
"16"," New Zealand","10.6","","6.5","","6.1","","3.8","","6.1","","6.0","","6.4","","5.8","","5.4","","5.4","","5.1","","4.9","a"
"124"," Nicaragua","14.5","","16.6","","9.8","","5.6","","7.8","","7.2","","6.5","","5.3","","4.5","","4.5","","4.5","","4.4","a"
"189"," Niger","5.0","","5.1","","2.1","","3.1","","0.9","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","a"
"157"," Nigeria","5.3","","4.4","","4.4","","4.3","","3.9","","3.8","","3.8","","3.7","","4.6","","4.3","","7.1","","7.0","a"
"1"," Norway","5.4","","6.3","","3.5","","4.4","","3.5","","3.2","","3.1","","3.4","","3.5","","4.3","","4.7","","4.2","a"
"48"," Oman","18.5","","16.8","","19.8","","19.2","","18.3","","17.9","","17.9","","17.1","","16.4","","15.8","","15.8","","16.0","a"
"150"," Pakistan","5.9","","5.0","","7.2","","7.7","","0.7","","0.8","","1.8","","3.0","","1.8","","3.6","","3.8","","4.0","a"
"119"," Palestine, State of","24.1","","24.3","","14.2","","23.5","","23.7","","20.9","","23.0","","23.4","","27.0","","25.9","","27.0","","27.9","a"
"66"," Panama","16.1","","14.0","","13.5","","10.3","","6.5","","4.5","","4.1","","4.1","","4.8","","4.5","","5.5","","5.6","a"
"153"," Papua New Guinea","3.0","","2.9","","2.9","","2.5","","2.0","","2.6","","2.6","","2.6","","2.7","","2.6","","2.6","","2.7","a"
"110"," Paraguay","5.1","","3.4","","7.6","","5.8","","4.6","","4.7","","4.1","","4.4","","5.0","","4.6","","5.3","","5.8","a"
"89"," Peru","6.0","","5.2","","5.8","","4.9","","3.5","","3.4","","3.1","","3.2","","3.0","","3.0","","3.5","","3.7","a"
"113"," Philippines","3.8","","3.8","","3.7","","3.8","","3.6","","3.6","","3.5","","3.5","","3.6","","3.0","","2.7","","2.8","a"
"33"," Poland","13.0","","13.3","","16.3","","17.8","","9.6","","9.6","","10.1","","10.3","","9.0","","7.5","","6.2","","5.0","a"
